"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour","orig.id"
"1",2013,12,3,1902,1815,47,2130,2100,30,"DL",456,"N339NW","JFK","ATL",114,760,18,15,2013-12-03 18:00:00,"12026"
"2",2013,10,29,1955,2000,-5,2232,2237,-5,"DL",1147,"N985DL","LGA","ATL",108,762,20,0,2013-10-29 20:00:00,"7519"
"3",2013,9,30,654,700,-6,921,945,-24,"DL",2285,"N311US","LGA","MCO",127,950,7,0,2013-09-30 07:00:00,"47982"
"4",2013,4,3,825,815,10,1050,1045,5,"DL",914,"N356NW","LGA","DEN",226,1620,8,15,2013-04-03 08:00:00,"23663"
"5",2013,9,26,1723,1725,-2,2012,2020,-8,"DL",2471,"N389DA","EWR","SLC",264,1969,17,25,2013-09-26 17:00:00,"47557"
"6",2013,1,20,1034,1035,-1,1335,1345,-10,"DL",1174,"N366NB","LGA","PBI",154,1035,10,35,2013-01-20 10:00:00,"2302"
"7",2013,12,13,1718,1710,8,2016,2021,-5,"DL",1519,"N389DA","EWR","SLC",279,1969,17,10,2013-12-13 17:00:00,"13279"
"8",2013,5,20,2002,1940,22,2258,2243,15,"DL",1435,"N904DL","LGA","TPA",138,1010,19,40,2013-05-20 19:00:00,"30094"
"9",2013,9,16,940,859,41,1147,1134,13,"DL",1747,"N948DL","LGA","ATL",103,762,8,59,2013-09-16 08:00:00,"46171"
"10",2013,7,31,1941,1945,-4,2221,2238,-17,"DL",1629,"N396DA","JFK","LAS",304,2248,19,45,2013-07-31 19:00:00,"39898"
"11",2013,3,20,1700,1700,0,2043,2110,-27,"DL",329,"N3754A","JFK","SJU",196,1598,17,0,2013-03-20 17:00:00,"21838"
"12",2013,8,10,1254,1259,-5,1515,1533,-18,"DL",781,"N950DL","LGA","ATL",113,762,12,59,2013-08-10 12:00:00,"41236"
